BOROUGH,Cultural Venue Type,additional_contact_name,address1,address2,address3,alternativenames,borough_code,borough_name,building_name,contact_name,easting,fid_london_ward,greenflagcommunityaward,gss_code,latitude,longitude,northing,os_addressbase_uprn,rm_organisation_name,runtime,site_name,ward,ward_2018_code,ward_2018_name,ward_code,ward_code_2018,ward_name_2018,website
Camden,Archives,,96 Euston Road,,,,E09000007,Camden,,,530018.9646522069,,,E09000007,51.529986770365106,-0.1269883564324114,182892.92311582062,5037737,,04/20/2020,"British Library, Modern English and Reader Services, Humanities and Social Sciences",,E05000143,St. Pancras and Somers Town,,,,https://www.bl.uk/visit/reading-rooms/humanities-reading-room
Camden,Archives,,96 Euston Road,,,,E09000007,Camden,,,530018.9646522069,,,E09000007,51.529986770365106,-0.1269883564324114,182892.92311582062,5037737,,04/20/2020,"British Library, Sound Archive",,E05000143,St. Pancras and Somers Town,,,,https://sounds.bl.uk/
Camden,Archives,,96 Euston Road,,,,E09000007,Camden,,,530018.9646522069,,,E09000007,51.529986770365106,-0.1269883564324114,182892.92311582062,5037737,,04/20/2020,"British Library, Map Library",,E05000143,St. Pancras and Somers Town,,,,https://www.bl.uk/subjects/maps
Camden,Archives,,96 Euston Road,,,,E09000007,Camden,,,530018.9646522069,,,E09000007,51.529986770365106,-0.1269883564324114,182892.92311582062,5037737,,04/20/2020,"British Library, Manuscript Collections",,E05000143,St. Pancras and Somers Town,,,,https://www.bl.uk/subjects/manuscripts-and-archives
Camden,Archives,,42 Queen Square,,,,E09000007,Camden,,,530405.9645453725,,,E09000007,51.52086587050325,-0.1217842798525542,181887.9233878185,5045366,,04/20/2020,Mary Ward Centre,,E05000138,Holborn and Covent Garden,,,,http://www.marywardcentre.ac.uk/
Camden,Archives,,8 South Square,,,,E09000007,Camden,,,531058.9643674826,,,E09000007,51.51927701117553,-0.11243721457924967,181727.92343116534,5045865,,04/20/2020,Hon Soc of Gray's Inn: Archives,,E05000138,Holborn and Covent Garden,,,,https://www.graysinn.org.uk/history/archives
Camden,Archives,,Conway Hall ,25 Red Lion Square,,,E09000007,Camden,,,530649.964479149,,,E09000007,51.51979403551024,-0.11831129435993613,181774.92341785383,5048256,,04/20/2020,Humanist Library and Archives,,E05000138,Holborn and Covent Garden,,,,https://conwayhall.org.uk/library/
Camden,Archives,,25 Red Lion Square,,,,E09000007,Camden,,,530649.964479149,,,E09000007,51.51979403551024,-0.11831129435993613,181774.92341785383,5048256,,04/20/2020,National Secular Society,,E05000138,Holborn and Covent Garden,,,,https://www.secularism.org.uk/
Camden,Archives,,16 Bedford Square,,,,E09000007,Camden,,,529820.9647031147,,,E09000007,51.51957157179161,-0.13026989933683558,181728.92343188747,5059068,,04/20/2020,Paul Mellon Centre for Studies in British Art,,E05000129,Bloomsbury,,,,https://www.paul-mellon-centre.ac.uk/
Camden,Archives,,35 Red Lion Square,,,,E09000007,Camden,,,530558.964503662,,,E09000007,51.51943760717198,-0.11963768723882487,181732.92342937965,5059115,,04/20/2020,Royal College of Anaesthetists,,E05000138,Holborn and Covent Garden,,,,https://www.rcoa.ac.uk/
Camden,Archives,,250 Euston Road,,,,E09000007,Camden,,,529310.9648433089,,,E09000007,51.525736606098185,-0.13736951066726774,182401.92325073603,5066067,,04/20/2020,University College London Hospitals NHS Foundation Trust,,E05000142,Regent's Park,,,,http://www.uclh.nhs.uk/Pages/Home.aspx
Camden,Archives,,Cecil Sharp House ,2 Regents Park Road,,,E09000007,Camden,,,528445.9650781925,,,E09000007,51.53810211945751,-0.14933786642370842,183755.92288083414,5066674,,04/20/2020,English Folk Dance and Song Society: Vaughan Williams Memorial Library,,E05000130,Camden Town with Primrose Hill,,,,https://www.vwml.org/
Camden,Archives,,Burgh House ,New End Square,,,E09000007,Camden,,,526605.9655761656,,,E09000007,51.558180898699696,-0.1750673410736099,185943.92228626146,5067420,,04/20/2020,Hampstead Museum,,E05000135,Hampstead Town,,,,https://burghhouse.museumssites.com/
Camden,Archives,,11 South Grove,,,,E09000007,Camden,,,528420.9650859706,,,E09000007,51.57018178931404,-0.1483959502677454,187324.92191022955,5067464,,04/20/2020,Highgate Literary and Scientific Institution,,E05000137,Highgate,,,,http://www.hlsi.net/
Camden,Archives,,11 St Andrews Place ,Regent's Park,,,E09000007,Camden,,,528782.9649849783,,,E09000007,51.52574929105327,-0.1449807462546322,182389.92325206829,5069347,,04/20/2020,Royal College of Physicians of London,,E05000142,Regent's Park,,,,https://www.rcplondon.ac.uk/
Camden,Archives,,18 Bloomsbury Square,,,,E09000007,Camden,,,530254.9645857539,,,E09000007,51.51928304378976,-0.12402596868374811,181707.92343671236,5071361,,04/20/2020,History of Parliament,,E05000129,Bloomsbury,,,,https://www.historyofparliamentonline.org/
Camden,Archives,,Holborn Library ,32-38 Theobalds Road,,,E09000007,Camden,,,530826.9644311903,,,E09000007,51.52118201320376,-0.11570264357827893,181933.9233752102,5082117,,04/20/2020,Camden Local Studies and Archives Centre,,E05000138,Holborn and Covent Garden,,,,https://www.camden.gov.uk/ccm/navigation/leisure/libraries-and-online-learning-centres/local-history/
